school_name,address,postal_code,mainlevel_code,type_code,zone_code,X,Y,Longitude,Latitude,year_in_location
CANTONMENT PRIMARY SCHOOL,1 CANTONMENT CLOSE   ,88256,PRIMARY,GOVERNMENT SCHOOL,SOUTH,28739.4305021614,28660.7930697445,103.839962631748,1.27547252623201,2011
CASUARINA PRIMARY SCHOOL,30 PASIR RIS ST 41   ,518935,PRIMARY,GOVERNMENT SCHOOL,EAST,41766.4977676729,39385.5958609674,103.957020286115,1.37246063927999,2001
CATHOLIC HIGH SCHOOL,9 BISHAN STREET 22   ,579767,MIXED LEVEL (P1-S4),GOVERNMENT-AIDED SCH,NORTH,29286.0617525242,37423.9135497604,103.844874676599,1.3547230747166,1992
CATHOLIC JUNIOR COLLEGE,129 WHITLEY ROAD   ,297822,JUNIOR COLLEGE,GOVERNMENT-AIDED SCH,SOUTH,28190.3351049758,34088.1962013766,103.835028842353,1.32455605783219,1975
CEDAR GIRLS' SECONDARY SCHOOL,1 CEDAR AVENUE   ,349692,SECONDARY (S1-S4),GOVERNMENT SCHOOL,SOUTH,32519.9675315833,35105.7372267004,103.873933064886,1.33375800216334,2010
CEDAR PRIMARY SCHOOL,15 CEDAR AVENUE   ,349700,PRIMARY,GOVERNMENT SCHOOL,SOUTH,32707.7091499828,35316.1469013225,103.87562006259,1.33566084356265,2006
CHANGKAT CHANGI SECONDARY SCHOOL,23 SIMEI ST 3   ,529894,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,41346.5926023414,35741.6438345015,103.953245525564,1.33950630072876,2001
CHANGKAT PRIMARY SCHOOL,11 SIMEI ST 3   ,529896,PRIMARY,GOVERNMENT SCHOOL,EAST,41216.8906296864,35821.8419446945,103.952080114035,1.34023163951633,2004
CHIJ (KATONG) PRIMARY,17 MARTIA ROAD   ,424821,PRIMARY,GOVERNMENT-AIDED SCH,EAST,36656.9804726057,32090.1643723603,103.911105620496,1.30648535277087,2009
VALOUR PRIMARY SCHOOL,49 Punggol Central   ,828728,PRIMARY,GOVERNMENT SCHOOL,EAST,35282.966108459,43253.3683976009,103.898762173662,1.40744168163777,2020
CHIJ (KELLOCK),1 Bukit Teresa Road   ,99757,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,27425.6197932558,28611.0557805933,103.828157564896,1.275022722964,2002
CHIJ KATONG CONVENT,346 MARINE TERRACE   ,449150,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,EAST,37329.0360122882,32085.467477452,103.917144350028,1.30644268034894,1988
CHIJ OUR LADY OF GOOD COUNSEL,2C Burghley Drive   ,558979,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,31415.5340866428,37723.1973494291,103.864009397373,1.35742952269615,2008
CHIJ OUR LADY OF THE NATIVITY,1257 UPPER SERANGOON ROAD   ,534793,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,35151.0338091562,39478.4768616967,103.897575728303,1.37330297140128,2004
CHIJ OUR LADY QUEEN OF PEACE,4 Chestnut Drive   ,679287,PRIMARY,GOVERNMENT-AIDED SCH,WEST,20665.4072236279,38737.7066427004,103.767412204602,1.366603668561,2007
CHIJ PRIMARY (TOA PAYOH),628 Lorong 1 Toa Payoh   ,319765,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,28949.1537291808,34994.5345916729,103.841847263786,1.33275264711587,1985
